source,team,name,special,special_kind
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,低め○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,対ランナー○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,ストライク先行,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,中日キラー,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,緩急○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,リリース○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,牽制○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,回復B,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,打たれ強さB,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,ケガしにくさC,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,スタミナ限界,usage
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,東,調子安定,usage
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,奪三振,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,キレ○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,リリース○,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,荒れ球,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,一発,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,ノビB,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,回復E,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,対左打者E,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,ケガしにくさF,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,打たれ強さF,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,入 江,調子次第,usage
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,奪三振,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,球速安定,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,内角攻め,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,ナチュラルシュート,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,ストライク先行,normal
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,クイックC,rank
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田裕,対ピンチE,rank
